"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Education_Resource_Educ_GDP","Education_Resource_SH_LGR_ACSRHES3","Education_Resource","Education_Agency_SE.SEC.ENRR","Education_Agency","Education_Achievement_UpperSec_Both","Education_Achievement","Education"
"Pakistan",586,"PAK","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.167170000076294,0,0.083585000038147,0.387423875596788,0.387423875596788,0.2341096,0.2341096,0.235039491643272
"Panama",591,"PAN","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.208490673700969,0.614117647058823,0.411304160379896,0.760924784342448,0.760924784342448,0.6724,0.6724,0.614876314292572
"Papua New Guinea",598,"PNG","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.124988667170207,0.89125,0.508119333585103,0.410819880167643,0.410819880167643,0.260925397058824,0.260925397058824,0.393288203210569
"Paraguay",600,"PRY","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.231314007441203,0.614117647058823,0.422715827250013,0.74249267578125,0.74249267578125,0.6362,0.6362,0.600469500409952
"Peru",604,"PER","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.283111985524495,1,0.641555992762248,1,1,0.8643,0.8643,0.835285330085464
"Philippines",608,"PHL","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.215624666213989,1,0.607812333106995,0.886280737982856,0.886280737982856,0.783215,0.783215,0.759102689604181
"Poland",616,"POL","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.307719993591309,0.763157894736842,0.535438944164075,1,1,0.9231,0.9231,0.819512980568512
"Portugal",620,"PRT","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.311677328745524,0.763157894736842,0.537417611741183,1,1,0.6512,0.6512,0.729539203184189
"Guinea-Bissau",624,"GNB","Western Africa","Sub-Saharan Africa","West & Central Africa",0.196521329879761,0.5,0.34826066493988,0.39090452454808,0.39090452454808,0.0659371,0.0659371,0.268367429560952
"Timor-Leste",626,"TLS","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.455394013722737,0.89125,0.673322006861369,0.850391896565756,0.850391896565756,0.5189265,0.5189265,0.680880133794828
"Puerto Rico",630,"PRI","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.404843997955322,0.614117647058823,0.509480822507073,0.850003221299913,0.850003221299913,0.8669837,0.8669837,0.742155913860173
"Qatar",634,"QAT","Western Asia","Northern Africa and Western Asia","Arab States",0.212688668568929,0.288,0.250344334284465,1,1,0.8348783,0.8348783,0.695074210733081
"Réunion",638,"REU","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.272722361123923,0.4865625,0.379642430561962,0.39090452454808,0.39090452454808,0.264980167392068,0.264980167392068,0.345175707155527
"Romania",642,"ROU","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.222983328501383,0,0.111491664250692,0.867447577582466,0.867447577582466,0.8089,0.8089,0.595946413348439
"Russian Federation",643,"RUS","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.311879984537761,0,0.15593999226888,1,1,0.8707,0.8707,0.67554666341408
